tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-1.11983,-18.8757,3.96881,-7.24243,-16.2404,-4.07677,9.78091,60,23.5032,-1.37963,-11.4732,0.334186,0,0,0,0,0,0,0,0,0,0,0,0,-0.402781,0.742118,-1.16917,-0.176218,0.12806,-1.83685,0.403413,1.69465,-0.824012,-0.291114,-0.121053,-0.863895,-0.452553,0.461769,-0.98607,-0.276643,-0.187447,-1.92689,0.662156,3.10392,-0.269625,-0.386375,-0.229851,-0.913789,-1.17646,2.51387,4.43768,1.2502,-0.809092,-0.63674,3.23631,4.2252,5.08225,-2.80709,3.99219,-2.2388,
-2.18076,-22.3759,6.04346,-14.057,-18.5836,-12.0255,10.0703,60,18.2366,2.90131,-16.0974,2.97167,0,0,0,0,0,0,0,0,0,0,0,0,-0.413757,0.779793,-1.10203,-0.147248,0.0993549,-1.82654,0.439903,1.79696,-0.742161,-0.337626,-0.0715795,-0.896582,-0.461202,0.409471,-0.894741,-0.364505,-0.289391,-2.02195,0.655865,3.08912,-0.249846,-0.374405,-0.283927,-0.873732,-0.311794,1.46055,3.89646,1.53299,-2.03445,0.929164,1.31464,6.76019,6.42961,-3.5812,3.21329,-1.24719,
-1.80341,-12.3675,-6.9194,-14.2298,-15.6348,-9.67286,14.397,34.67,0.384844,8.78514,-26.3863,3.52051,0,0,0,0,0,0,0,0,0,0,0,0,-0.407705,0.731199,-0.950481,-0.133636,0.0369769,-1.82866,0.417372,2.00921,-0.542001,-0.433601,-0.0178454,-0.892857,-0.426903,0.406295,-0.901584,-0.389089,-0.315544,-2.04296,0.640643,2.88348,-0.316551,-0.360514,-0.461432,-0.799821,0.543628,-4.00165,6.9882,0.13085,-2.73007,-1.53731,-1.53971,9.75646,8.73811,-3.4657,1.4466,1.1611,
-4.69789,-0.0604024,-6.04467,-13.3143,-4.97279,-3.2861,14.0185,56.0999,4.97031,6.0487,-11.219,-2.14916,0,0,0,0,0,0,0,0,0,0,0,0,-0.396848,0.630176,-0.834025,-0.128397,-0.031574,-1.88422,0.417047,2.12058,-0.410592,-0.480116,-0.00780884,-0.850041,-0.472393,0.501813,-0.843182,-0.36917,-0.216641,-2.0237,0.695886,3.21608,-0.261555,-0.401987,-0.221974,-0.819624,0.394874,-5.0906,4.02984,0.0521571,-3.78609,-3.18956,0.958352,3.01992,2.34672,-1.2739,-0.407312,2.77971,
-4.25632,5.38097,-2.08391,-10.4968,3.45302,2.42224,9.92517,54.6811,18.683,3.60295,0.989333,-6.60427,0,0,0,0,0,0,0,0,0,0,0,0,-0.395759,0.545504,-0.799763,-0.130958,-0.105973,-1.94613,0.449203,2.20303,-0.429954,-0.484827,-0.0293939,-0.796329,-0.481262,0.532398,-0.821238,-0.32837,-0.153579,-1.99496,0.683914,3.34058,-0.165915,-0.414933,-0.0529858,-0.841657,-0.32462,-4.43768,0.656588,-0.26247,-4.41552,-3.71477,2.17015,5.73411,-3.02612,0.175414,-1.66319,2.98997,
-0.00202084,3.29537,1.71836,-8.95842,8.46277,8.6613,3.68242,43.3072,34.9048,4.11455,9.1828,-4.77562,0,0,0,0,0,0,0,0,0,0,0,0,-0.428345,0.483074,-0.814961,-0.139512,-0.190403,-2.0244,0.494529,2.37756,-0.556378,-0.486021,-0.0716808,-0.753541,-0.485412,0.492638,-0.817798,-0.314862,-0.12965,-1.95159,0.610571,3.34719,-0.0513079,-0.41659,0.0704883,-0.833882,-2.28121,-2.01409,-1.3632,-0.4988,-3.72464,-3.38679,1.96357,7.28889,-5.1825,-0.215159,-0.991638,0.25955,
1.3682,-0.316223,6.44917,-11.1191,8.72958,5.96867,2.24284,41.2197,35.1589,3.65332,9.47225,2.51509,0,0,0,0,0,0,0,0,0,0,0,0,-0.484277,0.459928,-0.844738,-0.155582,-0.272667,-2.0728,0.528283,2.50325,-0.619063,-0.490797,-0.0676946,-0.77872,-0.527508,0.435003,-0.756937,-0.379167,-0.192137,-1.98091,0.589842,3.36902,0.00157011,-0.428485,0.132283,-0.782098,-2.72428,-0.767038,-1.17828,-0.856769,-3.12757,-0.665201,0.831239,4.65275,-0.744787,-0.16448,1.11021,-1.96424,
1.35374,-0.252784,5.74416,-9.85246,5.40026,0.541782,6.4467,46.2576,27.1485,4.10085,4.78432,2.39037,0,0,0,0,0,0,0,0,0,0,0,0,-0.539342,0.441029,-0.850687,-0.181842,-0.326226,-2.06825,0.531591,2.56403,-0.577775,-0.492606,-0.0220479,-0.822279,-0.565334,0.408339,-0.723783,-0.403333,-0.279783,-2.04545,0.639798,3.45242,0.00446999,-0.422486,0.133327,-0.818655,-2.02419,-1.12374,0.898587,-1.6942,-2.06972,0.518119,-0.360236,1.89363,3.54543,-0.177629,2.73551,-1.5935,
2.5273,1.37433,1.6857,-10.2295,-7.5319,-4.14428,12.0002,48.0511,23.4469,4.8363,-2.49338,-1.91117,0,0,0,0,0,0,0,0,0,0,0,0,-0.577332,0.411781,-0.809277,-0.218321,-0.324281,-2.04885,0.509966,2.5932,-0.489968,-0.493951,0.0506421,-0.838785,-0.568698,0.399984,-0.712868,-0.443827,-0.415968,-2.09949,0.697001,3.50882,0.0323615,-0.39608,0.104043,-0.890693,-1.49269,-1.4714,2.63042,-1.58061,1.81025,0.988468,-1.24605,1.67849,3.8409,0.397513,3.94941,-0.686362,
1.39755,2.0969,0.152342,-9.13248,-10.3895,-6.41723,13.1919,48.3854,23.9018,3.90786,-3.41687,-4.15312,0,0,0,0,0,0,0,0,0,0,0,0,-0.593805,0.389346,-0.762244,-0.246666,-0.296048,-2.02659,0.494146,2.62884,-0.433508,-0.482563,0.111885,-0.83617,-0.582384,0.399171,-0.694078,-0.45646,-0.452188,-2.11687,0.719009,3.56251,0.0714417,-0.388945,0.126324,-0.906966,-0.559575,-1.13202,2.61584,-1.74997,1.31039,1.05563,-0.599561,2.15724,2.81485,0.902637,3.06257,0.188618,
