tau_cal_0,tau_cal_1,tau_cal_2,tau_cal_3,tau_cal_4,tau_cal_5,tau_cal_6,tau_cal_7,tau_cal_8,tau_cal_9,tau_cal_10,tau_cal_11,tau_est_0,tau_est_1,tau_est_2,tau_est_3,tau_est_4,tau_est_5,tau_est_6,tau_est_7,tau_est_8,tau_est_9,tau_est_10,tau_est_11,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11,joint_pos_target_0,joint_pos_target_1,joint_pos_target_2,joint_pos_target_3,joint_pos_target_4,joint_pos_target_5,joint_pos_target_6,joint_pos_target_7,joint_pos_target_8,joint_pos_target_9,joint_pos_target_10,joint_pos_target_11,joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,
-0.620895,-1.0895,6.09337,0.0973866,-2.12846,4.19122,-1.48517,-0.404718,3.05428,1.64126,-0.319672,3.553,0,0,0,0,0,0,0,0,0,0,0,0,0.061872,0.726278,-1.56361,-0.055702,0.888149,-1.55293,0.033082,0.840165,-1.54295,-0.0360771,0.803834,-1.55129,0.0460624,0.705414,-1.42403,-0.0549931,0.841607,-1.45908,-0.0048494,0.836965,-1.47843,0.00381578,0.799556,-1.46958,-0.0114869,0.254944,-0.510226,-0.069028,0.266783,-0.437221,-0.0320835,0.276682,-0.473621,-0.0455435,0.148559,-0.284835,
-0.681387,-0.573375,6.51369,-0.179354,-1.79771,3.60099,-1.40909,-0.261504,3.02115,1.97381,0.422717,4.87625,0,0,0,0,0,0,0,0,0,0,0,0,0.0617859,0.731027,-1.57455,-0.0570893,0.893364,-1.56291,0.0324819,0.845355,-1.55315,-0.0370181,0.806671,-1.55785,0.0447573,0.720617,-1.42194,-0.0628553,0.852983,-1.48276,-0.00330295,0.843231,-1.48735,0.0114179,0.819552,-1.44238,0.00024308,0.156994,-0.409364,-0.0512847,0.182457,-0.394831,-0.0223023,0.176551,-0.388993,-0.0363725,0.0925035,-0.257622,
-0.770823,-0.184235,6.91521,-0.469437,-1.68318,2.72558,-1.25783,-0.246964,2.64136,2.25664,1.19172,5.97421,0,0,0,0,0,0,0,0,0,0,0,0,0.0618145,0.732964,-1.58037,-0.0578431,0.895752,-1.56875,0.0321403,0.847629,-1.55879,-0.0375705,0.807698,-1.56155,0.0426237,0.730925,-1.41592,-0.0706947,0.857072,-1.50951,0.000159942,0.84462,-1.50113,0.0179964,0.83865,-1.41748,0.00318993,0.102648,-0.337215,-0.0446254,0.135965,-0.356018,-0.0213831,0.1266,-0.334888,-0.0339677,0.0463539,-0.211357,
-0.89631,0.0478557,7.4546,-0.760772,-1.79343,1.89777,-1.04273,-0.373425,2.16233,2.5265,1.96978,7.0154,0,0,0,0,0,0,0,0,0,0,0,0,0.0619289,0.734703,-1.58694,-0.0587604,0.898377,-1.57633,0.0316398,0.850002,-1.56563,-0.0383284,0.808257,-1.56566,0.0397173,0.737513,-1.40737,-0.078754,0.8563,-1.53738,0.00498129,0.843088,-1.51895,0.0239659,0.857822,-1.39457,0.00784785,0.0645395,-0.271988,-0.0389738,0.110367,-0.340054,-0.0236169,0.0968806,-0.295253,-0.034722,0.0128262,-0.171734,
-1.0431,0.176812,8.05788,-1.06747,-2.06431,1.09549,-0.800049,-0.587654,1.57686,2.75422,2.70923,7.99318,0,0,0,0,0,0,0,0,0,0,0,0,0.0622038,0.735804,-1.59224,-0.0595345,0.900533,-1.58354,0.0311522,0.851908,-1.57172,-0.0390498,0.808419,-1.56928,0.0365606,0.741277,-1.39632,-0.0870397,0.851253,-1.56434,0.0106238,0.839295,-1.53901,0.0290183,0.876292,-1.37352,0.0173753,0.0421087,-0.221079,-0.0327318,0.0931184,-0.327462,-0.0210888,0.083117,-0.268441,-0.0314987,0.00566364,-0.162588,
-1.20673,0.202451,8.62132,-1.32286,-2.37552,0.374481,-0.553094,-0.822535,0.890735,2.9183,3.36621,8.83548,0,0,0,0,0,0,0,0,0,0,0,0,0.0626244,0.736413,-1.59585,-0.0603487,0.901874,-1.58947,0.0308224,0.853296,-1.57633,-0.0395635,0.808514,-1.5722,0.0331942,0.742204,-1.385,-0.0952922,0.843819,-1.58895,0.0165743,0.834691,-1.56047,0.032716,0.892809,-1.35542,0.0295208,0.0291794,-0.187343,-0.0748772,0.0533306,-0.353519,-0.0168335,0.0783494,-0.256518,-0.0271169,0.00557742,-0.164336,
-1.39852,0.107791,9.08067,-1.34066,-2.47385,-0.0692782,-0.345505,-1.05302,0.24898,3.01022,3.87089,9.64078,0,0,0,0,0,0,0,0,0,0,0,0,0.0634528,0.736978,-1.5993,-0.0636024,0.901317,-1.59775,0.0305931,0.855059,-1.58166,-0.0400125,0.808858,-1.5758,0.0297876,0.740448,-1.37631,-0.103634,0.836277,-1.61103,0.0217816,0.831273,-1.58243,0.0347763,0.906465,-1.33978,0.0519134,0.0310066,-0.1612,-0.260593,-0.127737,-0.461637,-0.00695545,0.101608,-0.279769,-0.0186728,0.0333975,-0.200143,
-1.63618,-0.215434,9.42427,-1.15524,-1.71588,-0.350702,-0.122622,-1.27098,-0.493178,3.10363,4.10027,10.5553,0,0,0,0,0,0,0,0,0,0,0,0,0.064747,0.737857,-1.60307,-0.0717682,0.887931,-1.60371,0.0302911,0.857373,-1.58816,-0.0406029,0.810008,-1.58108,0.0256232,0.733763,-1.37202,-0.111741,0.821609,-1.61989,0.0268971,0.828505,-1.60852,0.0362976,0.914376,-1.32417,0.0712309,0.0516616,-0.182101,-0.443666,-0.936979,-0.296485,-0.0131384,0.116264,-0.321131,-0.0276158,0.0744718,-0.278966,
-1.86519,-0.717615,9.53595,-1.01286,-0.940773,-0.33287,0.019136,-1.23843,-0.821376,3.10329,4.05877,11.2224,0,0,0,0,0,0,0,0,0,0,0,0,0.0670229,0.739462,-1.60753,-0.0819119,0.85948,-1.61034,0.0301457,0.859222,-1.59927,-0.0409345,0.811749,-1.58665,0.0232531,0.723538,-1.3736,-0.117001,0.803055,-1.6262,0.0305384,0.828794,-1.63532,0.0363917,0.916075,-1.31437,0.114395,0.0806825,-0.178831,-0.390691,-1.31622,-0.301567,-0.00342981,0.0212985,-0.620536,-0.010239,0.114261,-0.331166,
-2.23897,-1.4558,9.29341,-1.09068,-0.50424,-0.280641,0.357095,-0.769206,-0.901795,3.0577,3.90894,11.7075,0,0,0,0,0,0,0,0,0,0,0,0,0.0700661,0.741679,-1.61081,-0.0878112,0.832869,-1.61617,0.0285094,0.854834,-1.61082,-0.0406904,0.816221,-1.59652,0.0189046,0.708732,-1.38224,-0.120709,0.787851,-1.63143,0.033522,0.825429,-1.6499,0.0366988,0.919589,-1.31397,0.192508,0.137938,-0.150505,-0.225238,-1.29646,-0.330078,-0.156592,-0.406996,-0.661411,0.0378632,0.225799,-0.40541,
